CevapAnahtari,D,C,B,B,D,D,A,B,C,A,A,D,C,D,A
OgrenciNo,Madde1,Madde2,Madde3,Madde4,Madde5,Madde6,Madde7,Madde8,Madde9,Madde10,Madde11,Madde12,Madde13,Madde14,Madde15
129,C,C,B,B,D,D,A,B,C,A,A,D,C,D,A
146,D,B,C,D,D,C,C,D,C,A,A,A,C,A,D
195,C,C,B,C,D,D,A,B,D,A,C,A,C,A,A
295,C,C,B,B,D,D,A,B,C,A,A,D,D,D,A
301,A,C,B,D,B,C,A,B,C,D,D,D,C,D,A
329,A,B,B,B,D,D,A,B,A,A,B,C,C,C,A
343,C,C,B,C,D,C,A,A,B,A,C,B,C,B,A
353,B,C,B,D,D,C,A,B,C,D,A,D,C,D,A
367,C,B,B,C,D,D,A,B,C,A,A,D,C,D,A
393,A,B,D,D,A,D,A,D,C,A,A,B,B,D,A
406,D,B,C,B,D,D,A,B,A,A,A,D,B,D,A
422,A,C,B,C,D,D,A,B,C,A,C,D,C,D,A
439,B,B,B,C,B,C,A,B,C,D,A,B,C,D,A
444,C,B,B,A,D,D,A,D,C,A,A,D,C,D,A
450,C,B,D,B,A,C,C,B,A,D,B,A,C,A,B
458,D,B,B,D,D,D,A,B,B,A,A,B,C,B,A
463,C,C,B,D,D,D,A,B,C,A,A,D,C,D,A
477,C,B,B,C,A,A,C,D,C,C,C,B,D,B,A
482,A,B,B,D,D,D,A,B,C,A,A,D,C,D,A
493,A,C,D,C,D,D,A,B,A,A,A,A,A,D,A
502,D,C,B,B,B,C,A,D,C,A,A,D,C,D,D
549,A,C,B,D,D,D,A,B,C,A,C,C,D,D,A
742,C,C,D,C,A,D,A,D,C,D,A,D,B,D,A
759,D,C,D,C,D,D,A,D,C,D,A,D,D,D,A
775,C,B,B,B,D,C,A,B,A,A,B,D,D,B,C
806,A,B,C,A,D,C,A,D,C,B,A,B,A,D,A
927,B,B,B,B,D,D,A,D,A,A,A,B,C,A,A
951,C,C,B,C,A,D,A,B,C,A,A,D,C,D,A
965,D,C,B,D,D,D,A,D,C,A,A,D,D,D,A
979,A,A,C,B,A,C,C,A,B,A,A,A,C,B,D
