1.578	-2.118	0.000
1.154	0.032	0.000
0.958	-1.723	0.000
1.067	-0.466	0.000
1.290	-1.114	0.000
0.910	-1.639	0.000
1.686	-1.278	0.000
1.281	-0.541	0.000
1.086	-0.407	0.000
2.154	-0.858	0.000
1.446   -0.700  0.000
0.791	0.579	0.000
1.628	-0.796	0.000
1.334	0.474	0.000
0.942	0.441	0.000
1.236	-0.820	0.000
0.816	1.061	0.000
0.932	0.910	0.000
1.227	0.531	0.000
1.179	0.035	0.000
1.052	0.435	0.000
0.476   2.815   0.000
0.998   -0.175  0.000
0.777   1.750   0.000
0.499   3.073   0.000
1.144   1.070   0.000
0.496   -1.303  0.000
0.692   -1.097  0.000
0.715   0.933   0.000
0.524   0.893   0.000





